iter	Passed	Remaining
940	9686	6079941	9694	5969942	9699	5869943	9706	5759944	9712	5659945	9717	5549946	9724	5449947	9730	533948	9792	526
949	9797	515
950	9803	505
951	9808	494
952	9814	484
953	9819	473
954	9824	462
955	9829	452
9956	9779	4399957	9783	428958	9850	421
959	9855	410
960	9860	400
961	9865	389
962	9870	379
963	9876	368
964	9889	358
965	9894	348
966	9902	337
967	9910	327
968	9916	317
969	9922	306
970	9929	296
971	9934	286
972	9940	275
973	9948	265
974	9954	255
975	9960	244
976	9965	234
977	9970	224
978	9977	214
979	9983	203
980	9990	193
981	9995	183
982	9999	172
983	10005	162
984	10010	152
985	10014	142
986	10021	131
987	10026	121
988	10031	111
989	10038	101
990	10043	91
991	10048	81
992	10057	70
993	10062	60
994	10068	50
995	10074	40
996	10079	30
997	10086	20
998	10093	10
999	10098	0
0
